date,season,day_of_week,zone,crew_id,visit_order,prev_tower,tower_id,x,y,weather,precip_mm,wind_kmph,temp_c,load_level,load_category,voltage_v,frequency_hz,device_failure,tree_fall,line_fault,any_issue,risk_device,risk_tree,risk_line,risk_any
2023-01-02,Winter,Mon,East,Crew-B,5,45.0,43,76.113,67.605,Foggy,0.0,0.4,14.1,0.552,Medium,225.68,49.979,0,0,0,0,0.0176,0.0713,0.0688,0.1504
2023-01-02,Winter,Mon,East,Crew-B,6,43.0,30,71.34,71.153,Foggy,0.0,0.4,14.1,0.819,High,225.26,49.912,0,0,0,0,0.0591,0.0806,0.078,0.2023
2023-01-02,Winter,Mon,East,Crew-B,7,30.0,16,69.242,66.276,Foggy,0.0,0.4,14.1,0.919,High,222.72,49.869,0,0,0,0,0.0842,0.0728,0.1016,0.2372
2023-01-02,Winter,Mon,East,Crew-B,8,16.0,7,63.588,71.397,Foggy,0.0,0.4,14.1,0.354,Medium,226.47,49.954,0,0,0,0,0.0211,0.0931,0.0547,0.1609
2023-01-02,Winter,Mon,East,Crew-B,9,7.0,31,68.571,76.058,Foggy,0.0,0.4,14.1,0.198,Low,220.23,49.902,0,0,1,1,0.0132,0.0954,0.1133,0.2085
2023-01-02,Winter,Mon,East,Crew-B,10,31.0,22,65.199,54.693,Foggy,0.0,0.4,14.1,0.333,Low,229.24,49.921,0,0,0,0,0.0227,0.1598,0.0255,0.1998
2023-01-02,Winter,Mon,East,Crew-B,11,22.0,17,68.423,50.729,Foggy,0.0,0.4,14.1,0.242,Low,228.94,49.997,0,0,0,0,0.0127,0.0727,0.0576,0.1372
2023-01-03,Winter,Tue,South,Crew-C,1,,41,21.114,24.536,Rainy,38.74,12.51,29.9,0.213,Low,228.53,49.926,0,0,0,0,0.0379,0.262,0.1098,0.3679
2023-01-03,Winter,Tue,South,Crew-C,2,41.0,23,24.748,24.204,Rainy,38.74,12.51,29.9,0.75,High,209.76,49.776,0,0,1,1,0.0868,0.2992,0.1729,0.4707
2023-01-03,Winter,Tue,South,Crew-C,3,23.0,47,24.147,22.355,Rainy,38.74,12.51,29.9,0.722,High,212.86,49.85,0,1,1,1,0.0425,0.2585,0.1548,0.4
2023-01-03,Winter,Tue,South,Crew-C,4,47.0,8,28.133,26.195,Rainy,38.74,12.51,29.9,0.832,High,224.98,49.913,0,0,0,0,0.0547,0.2092,0.1782,0.3857
2023-01-03,Winter,Tue,South,Crew-C,5,8.0,9,26.18,34.223,Rainy,38.74,12.51,29.9,0.71,High,219.45,49.843,0,1,0,1,0.1498,0.1533,0.0842,0.3407
2023-01-03,Winter,Tue,South,Crew-C,6,9.0,6,28.179,37.789,Rainy,38.74,12.51,29.9,0.846,High,223.05,49.877,0,0,0,0,0.0881,0.3588,0.0707,0.4566
2023-01-03,Winter,Tue,South,Crew-C,7,6.0,35,34.387,39.992,Rainy,38.74,12.51,29.9,0.691,High,223.22,49.837,1,0,0,1,0.0299,0.1365,0.1073,0.2523
2023-01-03,Winter,Tue,South,Crew-C,8,35.0,1,21.236,38.521,Rainy,38.74,12.51,29.9,0.852,High,222.87,49.892,0,1,0,1,0.0673,0.4117,0.1108,0.512
2023-01-03,Winter,Tue,South,Crew-C,9,1.0,25,19.569,35.346,Rainy,38.74,12.51,29.9,1.0,High,221.49,49.9,0,0,0,0,0.2363,0.2472,0.2036,0.5421
2023-01-03,Winter,Tue,South,Crew-C,10,25.0,36,13.407,30.147,Rainy,38.74,12.51,29.9,0.47,Medium,223.9,49.877,0,1,0,1,0.0119,0.3648,0.0799,0.4225
2023-01-03,Winter,Tue,South,Crew-C,11,36.0,48,16.049,14.91,Rainy,38.74,12.51,29.9,0.541,Medium,225.34,49.994,0,0,0,0,0.0219,0.2727,0.2517,0.4677
2023-01-03,Winter,Tue,South,Crew-C,12,48.0,40,36.827,13.862,Rainy,38.74,12.51,29.9,0.423,Medium,227.35,50.021,0,0,0,0,0.0421,0.3702,0.0719,0.4401
2023-01-03,Winter,Tue,South,Crew-C,13,40.0,12,39.503,21.965,Rainy,38.74,12.51,29.9,0.314,Low,226.24,49.959,0,0,0,0,0.0183,0.2041,0.2015,0.3761
2023-01-04,Winter,Wed,South,Crew-A,1,,6,28.179,37.789,Foggy,0.0,5.85,17.2,0.573,Medium,226.71,49.873,0,0,0,0,0.0261,0.1409,0.055,0.2093
2023-01-04,Winter,Wed,South,Crew-A,2,6.0,9,26.18,34.223,Foggy,0.0,5.85,17.2,0.888,High,225.03,49.832,1,0,0,1,0.1074,0.0504,0.0658,0.2081
2023-01-04,Winter,Wed,South,Crew-A,3,9.0,1,21.236,38.521,Foggy,0.0,5.85,17.2,0.879,High,226.64,49.977,0,0,0,0,0.0469,0.1701,0.0871,0.278
2023-01-04,Winter,Wed,South,Crew-A,4,1.0,25,19.569,35.346,Foggy,0.0,5.85,17.2,1.0,High,220.81,49.937,0,0,0,0,0.1744,0.0878,0.1638,0.3702
2023-01-04,Winter,Wed,South,Crew-A,5,25.0,36,13.407,30.147,Foggy,0.0,5.85,17.2,0.719,High,218.78,49.924,0,0,1,1,0.0198,0.144,0.0623,0.2133
2023-01-04,Winter,Wed,South,Crew-A,6,36.0,41,21.114,24.536,Foggy,0.0,5.85,17.2,0.636,Medium,225.5,49.951,0,0,0,0,0.0262,0.0942,0.0864,0.1941
2023-01-04,Winter,Wed,South,Crew-A,7,41.0,23,24.748,24.204,Foggy,0.0,5.85,17.2,0.866,High,218.43,49.862,0,0,1,1,0.061,0.1112,0.1381,0.2806
2023-01-04,Winter,Wed,South,Crew-A,8,23.0,47,24.147,22.355,Foggy,0.0,5.85,17.2,0.267,Low,225.45,49.971,0,0,0,0,0.0122,0.0927,0.1231,0.214
2023-01-04,Winter,Wed,South,Crew-A,9,47.0,8,28.133,26.195,Foggy,0.0,5.85,17.2,0.169,Low,218.64,49.878,0,0,1,1,0.0158,0.072,0.1424,0.2167
2023-01-04,Winter,Wed,South,Crew-A,10,8.0,12,39.503,21.965,Foggy,0.0,5.85,17.2,0.533,Medium,225.19,49.911,0,0,0,0,0.0126,0.0699,0.162,0.2304
2023-01-04,Winter,Wed,South,Crew-A,11,12.0,40,36.827,13.862,Foggy,0.0,5.85,17.2,0.377,Medium,228.27,49.929,0,0,0,0,0.0291,0.1469,0.056,0.2182
2023-01-04,Winter,Wed,South,Crew-A,12,40.0,48,16.049,14.91,Foggy,0.0,5.85,17.2,0.417,Medium,227.92,49.963,0,0,0,0,0.0151,0.099,0.2049,0.2944
2023-01-04,Winter,Wed,South,Crew-A,13,48.0,35,34.387,39.992,Foggy,0.0,5.85,17.2,0.323,Low,227.36,49.938,0,0,0,0,0.0206,0.0443,0.0844,0.143
2023-01-05,Winter,Thu,North,Crew-C,1,,50,33.821,78.602,Cloudy,1.17,13.95,28.0,0.669,High,224.57,49.85,1,0,0,1,0.055,0.0903,0.1629,0.2804
2023-01-05,Winter,Thu,North,Crew-C,2,50.0,24,38.328,86.016,Cloudy,1.17,13.95,28.0,0.881,High,225.88,49.897,0,0,0,0,0.0648,0.0381,0.1098,0.1992
2023-01-05,Winter,Thu,North,Crew-C,3,24.0,5,25.625,88.835,Cloudy,1.17,13.95,28.0,0.76,High,224.58,49.907,0,0,0,0,0.037,0.0415,0.1528,0.2181
2023-01-05,Winter,Thu,North,Crew-C,4,5.0,13,15.231,80.728,Cloudy,1.17,13.95,28.0,0.74,High,224.01,49.897,0,0,0,0,0.0656,0.0962,0.3554,0.4557
2023-01-05,Winter,Thu,North,Crew-C,5,13.0,20,10.829,77.366,Cloudy,1.17,13.95,28.0,0.61,Medium,225.77,49.922,0,0,0,0,0.0338,0.0702,0.048,0.1448
2023-01-05,Winter,Thu,North,Crew-C,6,20.0,18,24.558,71.181,Cloudy,1.17,13.95,28.0,0.989,High,220.32,49.866,0,0,0,0,0.0448,0.0462,0.1768,0.25
2023-01-05,Winter,Thu,North,Crew-C,7,18.0,27,37.161,62.739,Cloudy,1.17,13.95,28.0,0.295,Low,224.83,49.898,0,0,0,0,0.0136,0.0277,0.1769,0.2106
2023-01-06,Winter,Fri,East,Crew-A,1,,42,63.146,72.122,Sunny,0.0,8.08,37.2,0.722,High,225.31,49.803,1,0,0,1,0.1563,0.0581,0.0611,0.2539
2023-01-06,Winter,Fri,East,Crew-A,2,42.0,7,63.588,71.397,Sunny,0.0,8.08,37.2,0.959,High,223.6,49.864,0,0,0,0,0.0959,0.1069,0.073,0.2515
2023-01-06,Winter,Fri,East,Crew-A,3,7.0,31,68.571,76.058,Sunny,0.0,8.08,37.2,0.774,High,222.02,49.95,0,0,0,0,0.0619,0.1094,0.148,0.2882
2023-01-06,Winter,Fri,East,Crew-A,4,31.0,30,71.34,71.153,Sunny,0.0,8.08,37.2,0.686,High,224.53,49.948,0,0,0,0,0.0486,0.0927,0.1031,0.2258
2023-01-06,Winter,Fri,East,Crew-A,5,30.0,43,76.113,67.605,Sunny,0.0,8.08,37.2,0.862,High,222.26,49.892,0,0,0,0,0.081,0.0821,0.0912,0.2335
2023-01-06,Winter,Fri,East,Crew-A,6,43.0,38,83.894,63.78,Sunny,0.0,8.08,37.2,1.0,High,226.31,49.838,0,0,0,0,0.1304,0.0916,0.1332,0.3152
2023-01-06,Winter,Fri,East,Crew-A,7,38.0,29,84.656,71.187,Sunny,0.0,8.08,37.2,0.797,High,225.38,49.816,1,0,0,1,0.2523,0.1028,0.1357,0.4202
2023-01-06,Winter,Fri,East,Crew-A,8,29.0,45,80.059,77.881,Sunny,0.0,8.08,37.2,0.644,Medium,222.39,49.902,0,0,0,0,0.0233,0.1144,0.0979,0.2197
2023-01-06,Winter,Fri,East,Crew-A,9,45.0,26,81.949,53.831,Sunny,0.0,8.08,37.2,0.307,Low,227.35,49.993,0,0,0,0,0.1377,0.077,0.128,0.306
2023-01-06,Winter,Fri,East,Crew-A,10,26.0,17,68.423,50.729,Sunny,0.0,8.08,37.2,0.219,Low,227.59,49.953,0,0,0,0,0.0251,0.0837,0.0768,0.1753
2023-01-06,Winter,Fri,East,Crew-A,11,17.0,22,65.199,54.693,Sunny,0.0,8.08,37.2,0.638,Medium,224.67,49.932,0,0,0,0,0.0444,0.1815,0.0344,0.2447
2023-01-07,Winter,Sat,East,Crew-A,1,,42,63.146,72.122,Foggy,0.0,0.53,17.6,0.871,High,224.53,49.901,0,0,0,0,0.0932,0.0504,0.0459,0.1784
2023-01-07,Winter,Sat,East,Crew-A,2,42.0,7,63.588,71.397,Foggy,0.0,0.53,17.6,0.854,High,221.85,49.947,0,0,0,0,0.0556,0.0934,0.055,0.1909
2023-01-07,Winter,Sat,East,Crew-A,3,7.0,31,68.571,76.058,Foggy,0.0,0.53,17.6,0.915,High,218.14,49.903,0,1,0,1,0.0353,0.0956,0.1138,0.2268
2023-01-07,Winter,Sat,East,Crew-A,4,31.0,30,71.34,71.153,Foggy,0.0,0.53,17.6,0.61,Medium,226.83,49.909,0,0,0,0,0.0276,0.0808,0.0784,0.1761
2023-01-07,Winter,Sat,East,Crew-A,5,30.0,38,83.894,63.78,Foggy,0.0,0.53,17.6,0.886,High,223.1,49.867,0,0,0,0,0.0768,0.0798,0.102,0.2371
2023-01-07,Winter,Sat,East,Crew-A,6,38.0,17,68.423,50.729,Foggy,0.0,0.53,17.6,0.616,Medium,224.55,49.885,0,0,0,0,0.0141,0.0729,0.0579,0.1389
2023-01-07,Winter,Sat,West,Crew-C,1,,39,70.37,36.904,Cloudy,1.57,8.45,25.8,1.0,High,221.53,49.842,0,0,0,0,0.0605,0.0751,0.081,0.2015
2023-01-07,Winter,Sat,West,Crew-C,2,39.0,46,62.619,25.183,Cloudy,1.57,8.45,25.8,0.693,High,225.13,49.889,0,0,0,0,0.0181,0.0504,0.2309,0.2828
2023-01-07,Winter,Sat,West,Crew-C,3,46.0,4,71.732,15.467,Cloudy,1.57,8.45,25.8,0.642,Medium,223.54,49.956,0,0,0,0,0.0107,0.0252,0.0974,0.1296
2023-01-07,Winter,Sat,West,Crew-C,4,4.0,3,78.226,15.116,Cloudy,1.57,8.45,25.8,0.93,High,223.74,49.877,0,0,0,0,0.053,0.0432,0.0932,0.1783
2023-01-07,Winter,Sat,West,Crew-C,5,3.0,37,64.091,10.436,Cloudy,1.57,8.45,25.8,0.938,High,223.59,49.895,0,0,0,0,0.1044,0.0634,0.0791,0.2276
2023-01-07,Winter,Sat,West,Crew-C,6,37.0,15,88.204,39.21,Cloudy,1.57,8.45,25.8,0.48,Medium,215.99,49.855,0,1,1,1,0.0189,0.0598,0.1842,0.2475
2023-01-08,Winter,Sun,South,Crew-B,1,,23,24.748,24.204,Sunny,0.0,11.92,39.6,0.999,High,221.05,49.862,0,0,0,0,0.1129,0.1238,0.1696,0.3545
2023-01-08,Winter,Sun,South,Crew-B,2,23.0,41,21.114,24.536,Sunny,0.0,11.92,39.6,1.0,High,223.31,49.933,0,0,0,0,0.1147,0.1051,0.1075,0.293
2023-01-08,Winter,Sun,South,Crew-B,3,41.0,36,13.407,30.147,Sunny,0.0,11.92,39.6,0.795,High,222.3,49.855,0,0,0,0,0.0381,0.1596,0.0781,0.2548
2023-01-08,Winter,Sun,South,Crew-B,4,36.0,1,21.236,38.521,Sunny,0.0,11.92,39.6,0.872,High,224.87,49.895,0,0,0,0,0.088,0.188,0.1084,0.3397
2023-01-08,Winter,Sun,South,Crew-B,5,1.0,9,26.18,34.223,Sunny,0.0,11.92,39.6,0.924,High,223.93,49.889,0,0,0,0,0.1908,0.0565,0.0824,0.2994
2023-01-08,Winter,Sun,South,Crew-B,6,9.0,6,28.179,37.789,Sunny,0.0,11.92,39.6,0.487,Medium,227.66,49.988,0,0,0,0,0.05,0.1562,0.0691,0.2537
2023-01-08,Winter,Sun,South,Crew-B,7,6.0,35,34.387,39.992,Sunny,0.0,11.92,39.6,0.613,Medium,225.7,49.938,0,0,0,0,0.0396,0.0497,0.1051,0.1833
2023-01-08,Winter,Sun,South,Crew-B,8,35.0,48,16.049,14.91,Sunny,0.0,11.92,39.6,0.361,Medium,220.56,49.908,0,0,1,1,0.0292,0.1103,0.2473,0.3498
2023-01-09,Winter,Mon,South,Crew-A,1,,6,28.179,37.789,Rainy,46.85,8.95,28.0,0.659,High,221.79,49.894,0,0,0,0,0.0357,0.3959,0.0619,0.4535
2023-01-09,Winter,Mon,South,Crew-A,2,6.0,9,26.18,34.223,Rainy,46.85,8.95,28.0,0.667,High,228.13,49.903,0,1,0,1,0.0632,0.175,0.0739,0.2842
2023-01-09,Winter,Mon,South,Crew-A,3,9.0,1,21.236,38.521,Rainy,46.85,8.95,28.0,0.749,High,224.27,49.855,0,1,0,1,0.0636,0.4504,0.0975,0.5356
2023-01-09,Winter,Mon,South,Crew-A,4,1.0,25,19.569,35.346,Rainy,46.85,8.95,28.0,0.642,Medium,218.85,49.883,1,1,0,1,0.106,0.2778,0.1815,0.4716
2023-01-09,Winter,Mon,South,Crew-A,5,25.0,36,13.407,30.147,Rainy,46.85,8.95,28.0,0.922,High,223.18,49.858,0,0,0,0,0.0271,0.4022,0.07,0.4591
2023-01-09,Winter,Mon,South,Crew-A,6,36.0,41,21.114,24.536,Rainy,46.85,8.95,28.0,0.135,Low,228.1,49.999,0,0,0,0,0.0358,0.2937,0.0967,0.3848
2023-01-09,Winter,Mon,South,Crew-A,7,41.0,23,24.748,24.204,Rainy,46.85,8.95,28.0,0.431,Medium,224.21,49.947,0,0,0,0,0.0352,0.3334,0.1535,0.4556
2023-01-09,Winter,Mon,South,Crew-A,8,23.0,47,24.147,22.355,Rainy,46.85,8.95,28.0,0.445,Medium,210.85,49.828,0,1,1,1,0.0167,0.2899,0.1371,0.3976
2023-01-09,Winter,Mon,South,Crew-A,9,47.0,8,28.133,26.195,Rainy,46.85,8.95,28.0,0.321,Low,211.35,49.899,0,0,1,1,0.0217,0.2366,0.1583,0.3714
2023-01-09,Winter,Mon,South,Crew-A,10,8.0,12,39.503,21.965,Rainy,46.85,8.95,28.0,0.41,Medium,223.13,49.846,0,1,0,1,0.0173,0.231,0.1796,0.38
2023-01-09,Winter,Mon,South,Crew-A,11,12.0,40,36.827,13.862,Rainy,46.85,8.95,28.0,0.412,Medium,220.8,49.894,0,1,0,1,0.0398,0.4078,0.0629,0.4671
2023-01-09,Winter,Mon,South,Crew-A,12,40.0,48,16.049,14.91,Rainy,46.85,8.95,28.0,0.464,Medium,226.47,49.9,0,0,0,0,0.0207,0.3052,0.2259,0.4732
2023-01-09,Winter,Mon,South,Crew-A,13,48.0,35,34.387,39.992,Rainy,46.85,8.95,28.0,0.391,Medium,229.16,49.943,0,0,0,0,0.0283,0.1563,0.0945,0.2576
2023-01-10,Winter,Tue,South,Crew-B,1,,48,16.049,14.91,Foggy,0.0,0.31,17.9,0.882,High,218.62,49.845,0,0,1,1,0.037,0.0895,0.1712,0.2733
2023-01-10,Winter,Tue,South,Crew-B,2,48.0,41,21.114,24.536,Foggy,0.0,0.31,17.9,0.475,Medium,226.06,49.982,0,0,0,0,0.0267,0.0852,0.0704,0.1723
2023-01-10,Winter,Tue,South,Crew-B,3,41.0,23,24.748,24.204,Foggy,0.0,0.31,17.9,0.878,High,222.53,49.871,0,0,0,0,0.0621,0.1007,0.1138,0.2525
2023-01-10,Winter,Tue,South,Crew-B,4,23.0,47,24.147,22.355,Foggy,0.0,0.31,17.9,0.72,High,219.05,49.838,0,1,0,1,0.03,0.0838,0.1011,0.2011
2023-01-10,Winter,Tue,South,Crew-B,5,47.0,8,28.133,26.195,Foggy,0.0,0.31,17.9,0.591,Medium,224.85,49.948,0,0,0,0,0.0161,0.0649,0.1175,0.188
2023-01-10,Winter,Tue,South,Crew-B,6,8.0,9,26.18,34.223,Foggy,0.0,0.31,17.9,0.434,Medium,226.98,49.935,0,0,0,0,0.0475,0.0453,0.0534,0.1393
2023-01-10,Winter,Tue,South,Crew-B,7,9.0,6,28.179,37.789,Foggy,0.0,0.31,17.9,0.082,Low,228.07,49.957,0,0,0,0,0.0266,0.128,0.0446,0.189
2023-01-10,Winter,Tue,South,Crew-B,8,6.0,35,34.387,39.992,Foggy,0.0,0.31,17.9,0.338,Low,227.94,49.971,0,0,0,0,0.021,0.0398,0.0688,0.1246
2023-01-10,Winter,Tue,South,Crew-B,9,35.0,1,21.236,38.521,Foggy,0.0,0.31,17.9,0.223,Low,224.74,49.89,0,1,0,1,0.02,0.1551,0.071,0.2308
2023-01-10,Winter,Tue,South,Crew-B,10,1.0,25,19.569,35.346,Foggy,0.0,0.31,17.9,0.11,Low,224.77,49.925,0,1,0,1,0.0805,0.0793,0.1357,0.2683
2023-01-10,Winter,Tue,South,Crew-B,11,25.0,36,13.407,30.147,Foggy,0.0,0.31,17.9,0.461,Medium,225.04,49.878,0,0,0,0,0.0083,0.1309,0.0506,0.1817
2023-01-10,Winter,Tue,South,Crew-B,12,36.0,40,36.827,13.862,Foggy,0.0,0.31,17.9,0.565,Medium,219.62,49.847,0,0,1,1,0.0297,0.1336,0.0454,0.1975
2023-01-11,Winter,Wed,East,Crew-C,1,,38,83.894,63.78,Sunny,0.0,2.18,39.6,0.361,Medium,225.25,50.011,0,0,0,0,0.0614,0.0823,0.1082,0.2318
2023-01-11,Winter,Wed,East,Crew-C,2,38.0,29,84.656,71.187,Sunny,0.0,2.18,39.6,0.734,High,218.28,49.86,0,1,0,1,0.2659,0.0924,0.1103,0.4073
2023-01-11,Winter,Wed,East,Crew-C,3,29.0,45,80.059,77.881,Sunny,0.0,2.18,39.6,0.79,High,222.02,49.916,0,0,0,0,0.0593,0.1029,0.079,0.2227
2023-01-11,Winter,Wed,East,Crew-C,4,45.0,43,76.113,67.605,Sunny,0.0,2.18,39.6,0.475,Medium,228.83,49.924,0,0,0,0,0.0371,0.0737,0.0735,0.1735
2023-01-11,Winter,Wed,East,Crew-C,5,43.0,30,71.34,71.153,Sunny,0.0,2.18,39.6,0.712,High,221.96,49.956,0,0,0,0,0.1188,0.0832,0.0832,0.2594
2023-01-11,Winter,Wed,East,Crew-C,6,30.0,16,69.242,66.276,Sunny,0.0,2.18,39.6,0.779,High,215.04,49.776,0,1,0,1,0.165,0.0753,0.1083,0.3115
2023-01-11,Winter,Wed,East,Crew-C,7,16.0,7,63.588,71.397,Sunny,0.0,2.18,39.6,0.65,Medium,215.37,49.854,1,0,1,1,0.0443,0.0962,0.0585,0.1867
2023-01-11,Winter,Wed,East,Crew-C,8,7.0,42,63.146,72.122,Sunny,0.0,2.18,39.6,0.767,High,223.56,49.844,1,0,0,1,0.166,0.052,0.0489,0.2479
2023-01-11,Winter,Wed,East,Crew-C,9,42.0,31,68.571,76.058,Sunny,0.0,2.18,39.6,0.69,High,222.9,49.909,0,0,0,0,0.028,0.0985,0.1206,0.2294
2023-01-11,Winter,Wed,East,Crew-C,10,31.0,22,65.199,54.693,Sunny,0.0,2.18,39.6,0.534,Medium,220.41,49.854,0,1,0,1,0.0475,0.1646,0.0274,0.2261
2023-01-11,Winter,Wed,East,Crew-C,11,22.0,17,68.423,50.729,Sunny,0.0,2.18,39.6,0.069,Low,228.13,50.003,0,0,0,0,0.0269,0.0751,0.0616,0.1555
2023-01-11,Winter,Wed,East,Crew-C,12,17.0,26,81.949,53.831,Sunny,0.0,2.18,39.6,0.385,Medium,227.96,49.974,0,0,0,0,0.1464,0.069,0.1039,0.2879
2023-01-11,Winter,Wed,North,Crew-B,1,,32,30.908,71.526,Sunny,0.0,2.12,33.1,0.638,Medium,216.44,49.843,0,0,1,1,0.0429,0.0358,0.1635,0.228
2023-01-11,Winter,Wed,North,Crew-B,2,32.0,18,24.558,71.181,Sunny,0.0,2.12,33.1,0.427,Medium,217.66,49.778,0,0,1,1,0.0217,0.0357,0.118,0.1679
2023-01-11,Winter,Wed,North,Crew-B,3,18.0,10,18.082,67.324,Sunny,0.0,2.12,33.1,0.757,High,221.69,49.942,0,0,0,0,0.0639,0.0945,0.034,0.1812
2023-01-11,Winter,Wed,North,Crew-B,4,10.0,13,15.231,80.728,Sunny,0.0,2.12,33.1,0.933,High,210.88,49.802,0,0,1,1,0.0757,0.0752,0.2557,0.3637
2023-01-11,Winter,Wed,North,Crew-B,5,13.0,50,33.821,78.602,Sunny,0.0,2.12,33.1,0.509,Medium,224.23,49.964,0,0,0,0,0.0635,0.0705,0.1081,0.2236
2023-01-11,Winter,Wed,North,Crew-B,6,50.0,24,38.328,86.016,Sunny,0.0,2.12,33.1,0.407,Medium,227.66,49.915,0,0,0,0,0.0318,0.0294,0.0714,0.1273
2023-01-11,Winter,Wed,North,Crew-B,7,24.0,28,39.227,89.878,Sunny,0.0,2.12,33.1,0.909,High,222.89,49.916,0,0,0,0,0.0768,0.0444,0.0593,0.1701
2023-01-11,Winter,Wed,North,Crew-B,8,28.0,44,35.525,62.637,Sunny,0.0,2.12,33.1,0.589,Medium,226.26,49.918,0,0,0,0,0.0538,0.0353,0.071,0.152
2023-01-12,Winter,Thu,West,Crew-C,1,,39,70.37,36.904,Sunny,0.0,6.61,36.8,0.696,High,225.59,49.933,0,0,0,0,0.0352,0.0697,0.0757,0.1704
2023-01-12,Winter,Thu,West,Crew-C,2,39.0,21,72.341,30.985,Sunny,0.0,6.61,36.8,0.742,High,222.9,49.988,0,0,0,0,0.0433,0.0607,0.094,0.1858
2023-01-12,Winter,Thu,West,Crew-C,3,21.0,2,69.127,25.743,Sunny,0.0,6.61,36.8,0.929,High,223.72,49.881,0,0,0,0,0.1665,0.1051,0.0806,0.3142
2023-01-12,Winter,Thu,West,Crew-C,4,2.0,46,62.619,25.183,Sunny,0.0,6.61,36.8,0.92,High,225.99,49.945,0,0,0,0,0.0593,0.0466,0.2181,0.2987
2023-01-12,Winter,Thu,West,Crew-C,5,46.0,11,61.544,18.359,Sunny,0.0,6.61,36.8,0.689,High,224.59,49.944,0,0,0,0,0.0226,0.1056,0.0894,0.204
2023-01-12,Winter,Thu,West,Crew-C,6,11.0,37,64.091,10.436,Sunny,0.0,6.61,36.8,0.827,High,224.41,49.881,0,0,0,0,0.1395,0.0588,0.0739,0.25
2023-01-12,Winter,Thu,West,Crew-C,7,37.0,4,71.732,15.467,Sunny,0.0,6.61,36.8,0.154,Low,224.22,49.988,0,0,0,0,0.0148,0.0233,0.0912,0.1255
